name,school_affiliation,keywords
David A. Vogan,mathematics,"Hecke modules based on involutions in extended Weyl groups; Laplacians on spheres; Translation principle for Dirac index; Computing the Lusztig-Vogan bijection; Contragredient representations and characterizing the local Langlands correspondence; Finite maximal tori; Quasisplit Hecke algebras and symmetric spaces; Asymptotic Hecke algebras and involutions; Coxeter systems, multiplicity free representations, and twisted Kazhdan-Lusztig Theory; Mathematicians’ Central Role in Educating the STEM Workforce; Hecke algebras and involutions in Weyl groups; Single-petaled K-types and Weyl group representations for classical groups; Boundaries of K-types in discrete series; Ad-nilpotent ideals of complex and real reductive groups; The p-adic local langlands conjecture; Branching from K to M for split classical groups; On the signature of the Shapovalov form; Strictly small representations and a reduction theorem for the unitary dual; Equivariant coherent sheaves on the nilpotent cone for complex reductive Lie groups; Orbital varieties and unipotent representations of classical semisimple Lie group"
Ali Jadbabaie,civil-environmental-engineering,
Eric J. Alm,civil-environmental-engineering,"High-resolution time series reveals differential behaviors of closely-related microbes in coastal communities; Using fecal microbiota as biomarkers for predictions of performance in the selective breeding process of pedigree broiler breeders; Erratum to: Host lifestyle affects human microbiota on daily timescales; Microbial community structure and dynamics on patchy landscapes; Host lifestyle affects human microbiota on daily timescales; Host lifestyle affects human microbiota on daily timescales; Demographics of lytic viral infection of coastal ocean vibrio; Hypermutation and adaptation of experimentally evolved marine Vibrio bacteria; Structure, function and diversity of the healthy human microbiome; A framework for human microbiome research; Genomic signatures of sex, selection and speciation in the microbial world"
Cynthia Barnhart,civil-environmental-engineering,
Moshe E. Ben-Akiva,civil-environmental-engineering,
Markus J. Buehler,civil-environmental-engineering,
Oral Buyukozturk,civil-environmental-engineering,
Sallie W. Chisholm,civil-environmental-engineering,Demographics of lytic viral infection of coastal ocean vibrio; UV hyper-resistance in Prochlorococcus MED4 results from a single base pair deletion just upstream of an operon encoding nudix hydrolase and photolyase; Structure and dynamics of genome-wide diversity in Prochlorococcus; Prochlorococcus genetic transformation and genomics of nitrogen metabolism
Herbert H. Einstein,civil-environmental-engineering,
Elfatih A. B. Eltahir,civil-environmental-engineering,"Mechanistic modelling of the links between environment, mosquitoes and malaria transmission in the current and future climates of West Africa; Linking environmental variability to village-scale malaria transmission using a simple immunity model"
Dara Entekhabi,civil-environmental-engineering,Risk Assessment and Optimal Response Strategies for Resilience of Electric Power Infrastructure to Extreme Weather; River basin salinization as a form of aridity; Satellite and Station Observations Demonstrate Water Availability's Effect on Continental‐Scale Evaporative and Photosynthetic Land Surface Dynamics; Analysis of the diurnal behavior of Evaporative Fraction
Michael J. Follows,civil-environmental-engineering,
Philip M. Gschwend,civil-environmental-engineering,
Charles F. Harvey,civil-environmental-engineering,Smoke radiocarbon measurements from Indonesian fires provide evidence for burning of millennia-aged peat; Impact of deforestation on solid and dissolved organic matter characteristics of tropical peat forests: implications for carbon release; Numerical modeling & analysis of plume migration effects on public drinking water wells at Lake Mirimichi
Colette L. Heald,civil-environmental-engineering,
Harold F. Hemond,civil-environmental-engineering,
Patrick Jaillet,civil-environmental-engineering,
Rubén Juanes,civil-environmental-engineering,
Jesse Kroll,civil-environmental-engineering,Inbound supply chain optimization with ship-mode variation in a fixed-capacity fulfillment center; Turbulence-particle interactions on surfaces; Biological and particulate contaminants in interfaces; Multiscale structural investigation of bamboo under compressive Loading; Water quality and hydrological assessment and modeling of bioretention basins in tropical cities; Material diversification in pavement management : a technique to proactively deal with an uncertain future; Fracturing processes and induced seismicity due to the hydraulic fracturing of rocks
Dennis McLaughlin,civil-environmental-engineering,
Heidi Nepf,civil-environmental-engineering,"Optimization of a fiber optic freshwater DOM sensing device; Measuring car pride and its implications for car ownership and use across individuals, cities, and countries; Fabrication and construction methods for low-cost, low-carbon structural components for housing in India; Long-term ground response For borehole heat exchangers in clay; An integrated model of flight and passenger delay for policy analysis in the National Air Transportation System; A strain tensor method for three-dimensional optimal Michell structures; Compost marketing guidelines for solid municipal waste management in India; Spatial distribution of dynamic amplification in progressive collapse analysis of building frames; New incentives to change modes : an experimental design to reduce single-occupant vehicle commuting in Kendall Square; Microbial mediations : cyber-biological extensions of human sensitivity to natural and made ecologies; Demographics of lytic viral infection of coastal ocean vibrio; Strategies for systemic urban constructed wetlands; Modeling and centralization of strategic inventory for repairable and long lead-time spare parts; Interactions between currents and the spatial structure of aquatic vegetation; Studies of Lagrangian modeling techniques with applications to deep ocean carbon sequestration; NEREUS Nemertes : embedded mass spectrometer control system; Support vector machine and its applications in information processing; An empirical study of the coordination in a distributed software development team; Lean enterprise in the construction industry; Numerical modeling of wetland hydrodynamics"
John A. Ochsendorf,civil-environmental-engineering,"Optimization of Cable-stayed Bridges at the Conceptual Design Stage; a taste of home; Multiscale structural investigation of bamboo under compressive Loading; Exploring the business case for LEED EBOM certification of a ""Mixed Use"" facility; Collapse analysis of unreinforced masonry domes and curving walls; Evaluation of probabilistic underspecification as a method for incorporating uncertainty into comparative life cycle assessments; The 4-dimensional masonry construction; Seismic assessment strategies for masonry structures; Thrust Network Analysis : exploring three-dimensional equilibrium; Material flow analysis of concrete in the United States; Equilibrium systems : studies in masonry structure"
Yossi Sheffi,civil-environmental-engineering,"Optimizing the Supply Chain Design for Sourcing and Supply of Critical Materials; ESD Summer Reading Lists 2003–2014; ESD Summer Reading Lists 2003–2013; ESD Summer Reading Lists 2003–2012; Complex Socio-technical Problems for Engineers: Pedagogical Motivation and Experience at the Undergraduate Level; ESD Summer Reading Lists 2003–2011; ESD.83 Doctoral Seminar in Engineering Systems, Fall 2009; Toward a theory of the evolution of business ecosystems : enterprise architectures, competitive dynamics, firm performance & industrial co-evolution; Coordination and competition in resource-constrained channels; Transportation context of Latin American logistics; Improving the flexibility of the desktop PC supply chain; Tantalum wire product development strategy : gaining a competitive advantage in a commodity market; Future value chains in the computer hardware industry; Analyzing the accountability, systems and efficiency of demand planning processes in a consumer products environment; The role of organizational culture in creating secure and resilient supply chains; Logistics barriers for multinational corporations doing business in China; Transportation resource scheduling in food retail industry; A real options approach to manage flexible contracts in the telecommunication networking industry; Improving logistics and supply chain services for MNCs doing business in P.R. China; An economic cost benefit analysis of internal and external warehouses in food retail industry"
David Simchi-Levi,civil-environmental-engineering,"Optimizing the Supply Chain Design for Sourcing and Supply of Critical Materials; Evaluating Strategies for Wide Scale Replacement of Human Inspection with Machine Vision; Advanced Functionality of Digital Mining Predictive Analytics and Insights Platform; Decoupling continuous manufacturing processes
to increase new product valuation; Tailored Base Surge Policy for Middle Echelon in Biologics Supply Chain; Modeling Total Delivered Cost in the Automotive Industry; Inventory modeling for active pharmaceutical ingredient supply chains; Evaluating modeling techniques for quantifying production risk in contact lens manufacturing; Digital business model development and validation for real-time monitoring solution for electrical power transformers; Reverse logistics supply chain process modeling and simulation; Improving lead time setting and on-time delivery commitments under uncertain supply conditions; Inbound supply chain optimization with ship-mode variation in a fixed-capacity fulfillment center; Analytics for an Online Retailer: Demand Forecasting and Price Optimization; Worst-Case Analysis of Process Flexibility Designs; ESD Summer Reading Lists 2003–2014; Analyzing Scrip Systems; The Johnson and Johnson journey deploying SmartOps for multi-echelon inventory optimization; ESD Summer Reading Lists 2003–2013; Development of a criteria based strategic sourcing model; ESD Summer Reading Lists 2003–2012"
